Mag,tsu,count,year
6.236363636363635,7.1000000000000005,6.0,1981.0
5.92,6.5125,8.0,1982.0
6.126086956521738,6.972727272727272,11.0,1983.0
5.928571428571429,6.442857142857143,7.0,1984.0
6.409999999999998,7.25,6.0,1985.0
5.693939393939394,7.575,4.0,1986.0
6.251515151515151,6.869230769230769,13.0,1987.0
6.06,6.871428571428572,7.0,1988.0
5.842857142857142,6.525,8.0,1989.0
6.0352941176470605,6.612499999999999,8.0,1990.0
5.788095238095236,6.95,6.0,1991.0
6.311111111111111,6.762499999999999,8.0,1992.0
6.192307692307692,6.949999999999999,8.0,1993.0
6.537500000000001,6.992857142857142,14.0,1994.0
6.8677419354838705,7.216666666666667,18.0,1995.0
6.894736842105263,7.153846153846154,13.0,1996.0
6.347058823529412,7.279999999999999,5.0,1997.0
6.16774193548387,7.3,5.0,1998.0
6.017142857142857,7.55,2.0,1999.0
6.213513513513514,6.814285714285715,7.0,2000.0
6.3076923076923075,7.250000000000001,4.0,2001.0
5.973333333333332,7.128571428571429,7.0,2002.0
5.881944444444446,7.0777777777777775,9.0,2003.0
5.724358974358976,7.118181818181818,11.0,2004.0
5.704999999999999,7.014285714285714,7.0,2005.0
5.552459016393443,7.314285714285715,7.0,2006.0
5.911940298507462,7.306666666666668,15.0,2007.0
5.711842105263158,6.762499999999999,8.0,2008.0
5.91967213114754,7.293333333333333,15.0,2009.0
5.99032258064516,7.1,15.0,2010.0
5.986666666666667,7.1499999999999995,14.0,2011.0
6.269387755102043,7.369230769230768,13.0,2012.0
6.030188679245283,7.109999999999999,10.0,2013.0
6.050909090909093,7.22142857142857,14.0,2014.0
6.204166666666669,6.892307692307693,13.0,2015.0
6.313461538461538,7.2857142857142865,14.0,2016.0
5.9640625000000025,6.914285714285714,14.0,2017.0
5.929230769230771,7.266666666666667,12.0,2018.0
5.829508196721312,6.94,5.0,2019.0
6.217857142857143,7.210000000000001,10.0,2020.0
6.2,,0.0,2021.0
