Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Era,Decade,Century,Country,Label Name
1938.0,2.0,1.0,19.0,4.0,18.0,1704.0,,INDONESIA:  NEW GUINEA,-5.25,130.5,25.0,8.5,,,,,,,,,,,,,,,,,,,,,2.0,24.0,1.0,8.0,1.0,BC,193,20,INDONESIA,"Year: 1938 
  Location: INDONESIA:  NEW GUINEA"
1939.0,1.0,25.0,3.0,32.0,14.0,1729.0,,CHILE:  CHILLAN,-36.25,-72.25,60.0,8.3,10.0,30000.0,4.0,,,,,920.0,4.0,,4.0,,,30000.0,4.0,,,,,920.0,4.0,,4.0,,,BC,193,20,CHILE,"Year: 1939 
  Location: CHILE:  CHILLAN"
1940.0,5.0,24.0,16.0,33.0,57.0,1739.0,,PERU,-10.5,-77.0,60.0,8.2,10.0,179.0,3.0,,,3500.0,4.0,,3.0,,3.0,,,179.0,3.0,,,3500.0,4.0,,3.0,,3.0,,,BC,194,20,PERU,"Year: 1940 
  Location: PERU"
1941.0,6.0,26.0,11.0,52.0,3.7,1746.0,,"INDIA:  ANDAMAN ISLANDS,MADRAS; SRI LANKA:  COLOMBO",11.94,92.626,20.0,8.0,,,1.0,,,,1.0,,4.0,,4.0,,,,1.0,,,,1.0,,4.0,,4.0,,,BC,194,20,INDIA,"Year: 1941 
  Location: INDIA:  ANDAMAN ISLANDS,MADRAS; SRI LANKA:  COLOMBO"
1942.0,8.0,24.0,22.0,50.0,27.0,1751.0,,"PERU:  ICA, NAZCA",-15.0,-76.0,60.0,8.2,9.0,30.0,1.0,,,25.0,1.0,,3.0,,3.0,,,30.0,1.0,,,25.0,1.0,,3.0,,3.0,,,BC,194,20,PERU,"Year: 1942 
  Location: PERU:  ICA, NAZCA"
1943.0,4.0,6.0,16.0,7.0,15.0,1752.0,,CHILE:  ILLAPEL,-30.75,-72.0,35.0,8.2,,11.0,1.0,,,,,,1.0,,1.0,,,11.0,1.0,,,,,,1.0,,1.0,,,BC,194,20,CHILE,"Year: 1943 
  Location: CHILE:  ILLAPEL"
1944.0,12.0,7.0,4.0,35.0,,1756.0,,JAPAN:  OFF SOUTHEAST COAST KII PENINSULA,34.0,137.1,30.0,8.1,,1223.0,4.0,,,2135.0,4.0,,3.0,26146.0,4.0,,,1223.0,4.0,,,2135.0,4.0,,3.0,29205.0,4.0,46950.0,4.0,BC,194,20,JAPAN,"Year: 1944 
  Location: JAPAN:  OFF SOUTHEAST COAST KII PENINSULA"
1945.0,11.0,27.0,21.0,56.0,50.0,1761.0,,PAKISTAN:  MAKRAN COAST,24.5,63.0,15.0,8.0,10.0,4000.0,4.0,,,,,25.0,4.0,,,,,4000.0,4.0,,,,,25.0,4.0,,,,,BC,194,20,PAKISTAN,"Year: 1945 
  Location: PAKISTAN:  MAKRAN COAST"
1946.0,4.0,1.0,12.0,29.0,1.3,1762.0,,ALASKA:  UNIMAK ISLAND,53.492,-162.832,15.0,8.6,6.0,,,,,,,,,,,,,167.0,3.0,,,,,26.271,4.0,,3.0,,,BC,194,20,ALASKA,"Year: 1946 
  Location: ALASKA:  UNIMAK ISLAND"
1947.0,7.0,29.0,13.0,43.0,22.0,,,INDIA-CHINA,28.5,94.0,60.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,BC,194,20,INDIA-CHINA,"Year: 1947 
  Location: INDIA-CHINA"
